job_cluster,skills_filtered,job_level,job_title
Auditing,"['accounting', 'cash handling', 'auditing', 'accounts payable', 'general ledger', 'microsoft office', 'communication', 'retail', 'multitasking', 'time management', 'data entry', 'financial reporting', 'oracle', 'journal entries', 'teamwork', 'professional development']",Mid senior,Income Auditor
Project Management,"['project management', 'risk management', 'budget management', 'stakeholder management', 'contract management', 'technical writing', 'team leadership', 'customer relationship management', 'strategic planning', 'scheduling', 'budgeting', 'supplier management', 'quality assurance', 'us citizenship', 'dod secret clearance', '10 years of', '8 years of']",Associate,Manager Programs 3 - Deployed Maritime Radars Sustainment Portfolio
Financial Analysis,"['work from home', 'senior accountant', 'accounting principles', 'accounting software', 'excel', 'microsoft office', 'sap', 'data mining', 'data validation', 'business analytics', 'cpa', 'mba', 'financial accounting', 'accounting', 'internal auditing', 'external auditing', 'financial analysis', 'financial reporting', 'financial statements', 'journal entries', 'intercompany transactions', 'general ledger', 'financial reporting', 'business', 'variance analysis', 'recommendations', 'health benefits', 'medical coverage', 'career development', 'diversity', 'equal opportunity employer']",Associate,Senior Accountant
Budgeting & Forecasting,"['cima', 'acca', 'aca', 'analytical skills', 'management accounting', 'sales', 'balance sheet reconciliations', 'variance analysis', 'financial planning', 'budgeting', 'forecasting', 'communication']",Mid senior,Senior Retail Finance Business Partner
Financial Reporting,"['accounting', 'financial reporting', 'balance sheet', 'cash flow forecasting', 'contract management', 'kpi management', 'contract negotiation', 'compliance', 'profitability analysis', 'invoicing', 'project management', 'management accounting', 'commercial finance', 'communication', 'communication', 'data analysis', 'presentation']",Mid senior,Finance Business Partner
MS Office,"['deal structuring', 'financial modeling', 'underwriting', 'risk analysis', 'market analysis', 'financial due diligence', 'presentations', 'budgeting', 'economic analysis', 'data analysis', 'project management', 'excel', 'word', 'powerpoint', 'criminal background check']",Mid senior,Real Estate Development Finance Underwriter
Leadership,"['banking operations', 'customer service', 'security', 'sales management', 'banking products and services', 'microsoft office', 'leadership', 'problem solving', 'communication', 'organization', 'decision making', 'coaching', 'customer relations', 'communication']",Mid senior,Banking Center Operations Manager
Accounting,"['accounting', 'finance', 'gaap', 'apar', 'general ledger', 'cpa']",Mid senior,Senior Accountant
Project Management,"['policy development', 'vendor management', 'training', 'compliance audit', 'risk management', 'reporting', 'project management', 'process automation', 'diversity']",Mid senior,Senior Contingent Workforce Compliance Manager
Financial Analysis,"['financial planning', 'investment advice', 'financial analysis', 'client service', 'sales', 'marketing', 'communication', 'relationship building', 'project coordination', 'microsoft office', 'cfp designation', 'credit union', 'strong organizational', 'excellent verbal and written communication', 'adaptability', 'communication', 'emotional intelligence']",Associate,Financial Advisor
Leadership,"['accounting', 'cpa', 'aca', 'acca', 'finance', 'strategy', 'consulting', 'budgeting', 'forecasting', 'financial analysis', 'risk management', 'business intelligence', 'communication', 'leadership', 'teamwork', 'motivation', 'problem solving', 'decision making', 'flexibility', 'adaptability', 'financial systems', 'software applications']",Mid senior,Finance Business Partner
Business Development,"['financial management', 'business case development', 'professional development', 'diversity', 'inclusion']",Mid senior,Finance Business Partner
Financial Reporting,"['business partnering', 'financial reporting', 'kpi analysis', 'monthend closing', 'six sigma', 'continuous improvement', 'compliance', 'audit support']",Mid senior,Finance Business Partner
Project Management,"['machine learning', 'artificial intelligence', 'virtual assistants', 'blockchain', 'microleadership', 'service learning']",Associate,Volunteer: Human resources business partner volunteer for CrowdDoing.world's systemic change fund.
Business Development,"['financial services', 'investment services', 'sales', 'excellent communication', 'certified financial planner cfp designation']",Associate,Financial Advisor
Financial Analysis,"['financial advising', 'investment planning', 'retirement planning', 'financial analysis', 'market research', 'investment strategies', 'tax implications', 'securities law', 'continuing education', 'banking', 'sales', 'crossselling', 'account management', 'client relationships', 'public speaking', 'finra series 7 license']",Associate,Financial Advisor
Accounting,"['audit', 'accounting', 'sec', 'cpa', 'big 4', 'hybrid work', 'fast track promotions', 'paid overtime', 'relocation assistance', 'h1 visa transfer assistance']",Mid senior,Audit Seniors & Experienced Staff
Data Analysis,"['investment banking', 'management consulting', 'private equity', 'asset management', 'excel', 'powerpoint', 'financial modeling', 'data analysis', 'communication', 'teamwork', 'flexibility', 'selfawareness', 'humility']",Associate,"Food & Agriculture Associate, Investments"
Financial Reporting,"['budget management', 'financial reporting', 'variance analysis', 'management accounting', 'communication', 'innovation', 'change management', 'flexible working']",Mid senior,Finance Business Partner
Risk & Compliance,"['risk management', 'patient safety', 'quality management', 'policy and procedures', 'medical records', 'standard operating procedures', 'record keeping', 'physical demands', 'bending', 'sitting', 'carrying', 'cpr']",Mid senior,Patient Safety Risk Manager
Financial Analysis,"['financial management', 'strategic planning', 'budgeting', 'financial analysis', 'risk management', 'reporting', 'business intelligence', 'decision support', 'investment analysis', 'business planning', 'change management', 'project management', 'data analysis', 'kpi analysis', 'decision support', 'pension']",Mid senior,Finance Business Partner
Customer Service & Sales,"['bookkeeping', 'payroll', 'accounts payable', 'accounts receivable', 'general accounting', 'microsoft dynamics', 'quickbooks online', 'outlook', 'word', 'excel', 'powerpoint', 'financial reporting', 'budgeting', 'personnel management', 'office management', 'customer service', 'communication', 'teamwork', 'confidentiality', 'business acumen', 'regulatory requirements', 'communication']",Mid senior,Finance Manager - Rhythm and Rally
Financial Reporting,"['treasury', 'bank reconciliation', 'excel', 'audit support', 'financial reporting', 'hybrid schedule', 'strong communication', 'multitasking', 'discounts']",Associate,Treasury Analyst
Financial Reporting,"['business partnering', 'financial reporting', 'data analysis', 'kpi reporting', 'pl reporting', 'balance sheet management', 'analytical skills', 'advanced excel', 'commercial awareness', 'process improvement', 'hybrid working', 'flexible working']",Mid senior,Finance Business Partner
Financial Analysis,"['accounting', 'financial analysis', 'problem solving', 'risk management', 'continuous improvement', 'budget preparation', 'cost analysis', 'business partnering', 'communication', 'analytical skills', 'attention to detail', 'integrity']",Mid senior,Finance Business Partner
Financial Analysis,"['financial reporting', 'cash flow forecasting', 'project management', 'business analysis', 'accounting standards', 'sensitivity analysis', 'budgeting', 'process improvement', 'financial analysis', 'business cases', 'user acceptance testing', 'process mapping', 'documentation']",Mid senior,Finance Business Partner
Financial Analysis,"['finance', 'budgeting', 'financial reporting', 'financial analysis', 'risk management', 'financial modeling', 'decision making', 'stakeholder management', 'business planning', 'financial strategies', 'aca', 'acca', 'cima']",Mid senior,Finance Business Partner
Accounting,"['accounting', 'finance', 'qualified accountant']",Mid senior,Finance Business Partner
Financial Reporting,"['accounting', 'finance', 'manufacturing', 'oracle', 'erp', 'kpi', 'financial statements', 'performance metrics', 'inventory', 'capital management', 'cost accounting', 'budget analysis', 'tax preparation', 'internal controls', 'decision making', 'leadership', 'leadership', 'financial reporting', 'budget forecasting', 'roi analysis']",Mid senior,Finance Business Partner
Financial Analysis,"['accounting', 'financial reporting', 'budgeting', 'auditing', 'management reporting', 'financial analysis', 'data analysis', 'communication', 'teamwork', 'problem solving', 'attention to detail', 'accuracy', 'time management', 'microsoft office', 'accounting software', 'audit software']",Mid senior,Finance Business Partner
Auditing,"['accountancy', 'finance', 'budgeting', 'forecasting', 'auditing', 'data analysis', 'financial reporting', 'kpi management', 'system implementation', 'scenario planning', 'credit control', 'teamwork', 'communication', 'time management', 'problem solving']",Mid senior,Finance Business Partner
MS Office,"['commercial real estate', 'loan underwriting', 'healthcare', 'presentations', 'financial statements', 'loan structuring', 'financial models', 'due diligence', 'legal documents', 'market trends', 'excel', 'word', 'powerpoint', 'organization', 'communication', 'entrepreneurial spirit', 'diversity', 'inclusion', 'equal employment opportunity']",Mid senior,Loan Underwriter
Financial Analysis,"['cima', 'aca', 'acca', 'cost control', 'stakeholder management', 'forecasting', 'effective communication', 'data analysis', 'financial planning', 'financial analysis', 'commercial finance']",Mid senior,Finance Business Partner
Financial Analysis,"['financial planning', 'analysis', 'data analysis', 'financial modeling', 'erp systems', 'data visualization', 'financial analysis', 'budgeting', 'forecasting', 'sustainability']",Mid senior,Financial Planning and Analysis Manager
Financial Analysis,"['quantitative', 'analytical skills', 'attention to detail', 'communication', 'negotiation', 'leadership', 'organization', 'qualified accountant', 'strategic thinking', 'performance reporting', 'problem solving', 'stakeholder management', 'resilience', 'continuous improvement', 'ifrs', 'uk gaap', 'capex', 'business planning', 'performance management', 'change management', 'excel', 'powerpoint', 'resultsdriven', 'customer service', 'stakeholder management', 'resilience', 'continuous improvement', 'budget forecasting', 'financial analysis', 'kpi analysis', 'cost control', 'risk management', 'collaboration', 'influence', 'negotiation', 'diversity and inclusion']",Mid senior,Senior Finance Business Partner
MS Office,"['audit management', 'microsoft office']",Mid senior,Senior Audit Manager
Data Analysis,"['aca', 'cfa', 'private equity', 'private credit', 'fund accounting', 'reporting', 'data analysis', 'financial modeling', 'investor relations', 'capital raising']",Associate,Portfolio Monitoring Analyst
Project Management,"['compliance', 'project management', 'employee training', 'statistics', 'certifications', 'administrative tasks', 'special projects', 'system development', 'regulatory changes', 'federal regulations', 'state regulations', 'regulatory', 'finra', 'communication', 'supervisory', 'communication', 'communication', 'organization', 'microsoft office', 'excel', 'powerpoint', 'college degree']",Mid senior,Compliance Analyst
Analytical Thinking,"['accounting', 'financial statements', 'excel', 'market analysis', 'business partnering', 'financial modeling', 'forecasting', 'systems implementation', 'process improvement', 'attention to detail', 'analytical skills', 'strong relationships', 'commercial', 'technical accounting']",Mid senior,Finance Business Partner
Communication,"['recruiting', 'team building', 'business development', 'communication', 'relationship building', 'goal orientation', 'self motivation', 'strong work ethic', 'flexibility', 'adaptability', 'resourcefulness']",Mid senior,Finance / Accounting Recruiting Business Partner
Customer Service & Sales,"['bookkeeping', 'payroll processing', 'financial reporting', 'budget preparation', 'invoice processing', 'general ledger maintenance', 'cash handling', 'report writing', 'powerpoint presentations', 'accounting', 'business administration', 'quickbooks online', 'microsoft dynamics', 'outlook', 'word', 'excel', 'powerpoint', 'hospitality', 'retail', 'professional communication', 'organization', 'multitasking', 'teamwork', 'confidentiality', 'calculator', 'computer', 'regulatory requirements', 'communication', 'customer service']",Mid senior,Finance Manager - WYO Sports Ranch
Collaboration,"['management accounting', 'attention to detail', 'cost management', 'variance analysis', 'forecasting', 'budgeting', 'financial modeling', 'procurement', 'collaboration']",Mid senior,Finance Business Partner
MS Office,"['accounting systems', 'sox compliance', 'excel', 'word', 'powerpoint', 'written and verbal communication', 'attention to detail', 'time management', 'problem solving', 'critical thinking', 'analytical skills', 'integrity']",Associate,SOX & Compliance Assistant
Financial Reporting,"['financial reporting', 'budgeting', 'forecasting', 'variance analysis', 'financial modeling', 'cost analysis', 'fpa', 'sap', 'power bi', 'vba', 'excel', 'analytical skills', 'qualified accountant', 'planning', 'proactive', 'team player', 'multitasking', 'attention to detail', 'supervisory', 'hybrid working']",Mid senior,Finance Business Partner
Leadership,"['business partnering', 'leadership', 'data analysis', 'presentation', 'continuous improvement', 'leadership']",Mid senior,Finance Business Partner
Auditing,"['finance', 'budgeting', 'forecasting', 'reporting', 'analysis', 'business cases', 'process improvement', 'auditing']",Mid senior,Finance Business Partner
Financial Analysis,"['financial analysis', 'financial planning', 'budgeting', 'variance analysis', 'cost control', 'financial projections', 'excel', 'generally accepted accounting principles', 'accounting', 'finance', 'cpa', 'public accounting']",Associate,Financial Analyst
Data Analysis,"['financial management', 'financial accounting', 'data analysis', 'reporting', 'balance sheet', 'cash flow forecasting', 'contract negotiations', 'compliance', 'profitability', 'invoicing', 'implementation', 'sap', 'power bi', 'excel', 'financial acumen', 'commercial acumen', 'data analysis', 'accuracy', 'deadline management', 'cima', 'aca', 'acca']",Mid senior,Finance Business Partner
Time Management & Organization,"['financial modeling', 'investment banking', 'ma', 'treasury', 'valuation', 'capital management', 'investment analysis', 'excel', 'cash flow', 'scenario analysis', 'attention to detail', 'autonomy', 'proactivity', 'teamwork', 'organization', 'planning', 'time management', 'conflict resolution', 'motivation', 'goal setting', 'communication']",Mid senior,Corporate Finance Manager
Project Management,"['quality assurance', 'gmp', 'sdlc', 'incident management', 'change management', 'investigations', 'project management', 'microsoft office', 'ms project']",Associate,"IT Quality Compliance Specialist/Analyst in New Brunswick, NJ"
Financial Analysis,"['project finance', 'accounting', 'finance', 'financial analysis', 'data reporting', 'data analysis', 'budgeting', 'forecasting', 'revenue recognition', 'training', 'development', 'management', 'excel', 'pivot tables', 'effective communication', 'organization', 'communication', 'strong work ethic', 'ability to work independently', 'ability to work in a team', 'travel', 'relocation', 'regular attendance', 'wellness programs', 'retirement plans']",Mid senior,Project Financial Supervisor
Data Analysis,"['modeling', 'data analysis', 'insights', 'market trends', 'financial data', 'problem solving', 'decision making', 'research', 'data engineering', 'thought leadership', 'presentation', 'process development', 'product development', 'finance', 'business', 'economics', 'engineering', 'technology', 'programming', 'computer science', 'forecasting', 'communication', 'analytical skills', 'excel', 'databases', 'bi tools', 'python', 'r', 'microsoft office', 'organization', 'planning', 'prioritization', 'time management', 'accuracy', 'financial markets', 'multitasking', 'team environment']",Mid senior,Commercial Fundamentals Analyst
Data Analysis,"['accounting', 'finance', 'financial statements', 'reports', 'budgeting', 'initiative', 'independent judgment', 'cash', 'travel', 'technical reports', 'accuracy', 'compliance', 'bank statements', 'revenue', 'accounting system', 'forms', 'governmental accounting', 'laws', 'regulations', 'office equipment', 'computers', 'software applications', 'accounting theory', 'data analysis', 'consolidation', 'data interpretation', 'communication']",Mid senior,ACCOUNTANT III - FINANCE
Financial Reporting,"['accounting', 'financial reporting', 'budgeting', 'forecasting', 'costing', 'analysis', 'erp systems', 'excel', 'revenue recognition', 'accounting standards', 'financial regulations', 'stakeholder management', 'communication', 'time management', 'accuracy', 'attention to detail']",Mid senior,Finance Business Partner
Attention to Detail,"['investment research', 'portfolio management', 'portfolio analysis', 'fixed income', 'mentorship', 'market analysis', 'performance reviews', 'coding', 'attention to detail', 'selfmotivated', 'strong relationships', 'effective communication']",Mid senior,Analyst – Portfolio Analysis Group
Financial Analysis,"['databases', 'excel', 'client onboarding', 'financial analysis', 'competitive analysis', 'problem solving', 'teamwork', 'organization', 'communication', 'leadership', 'sql', 'python', 'r']",Mid senior,Ascent Investments Performance Analyst
Data Analysis,"['microsoft office', 'excel', 'sharepoint', 'project management', 'business analysis', 'accounting', 'finance', 'sap', 'microsoft power bi', 'kpis', 'metrics', 'reporting', 'data analysis', 'system analysis', 'software development', 'documentation', 'vendor management', 'compliance', 'sops']",Mid senior,Financial/Business Analyst
Analytical Thinking,"['business analysis', 'sales reporting', 'data management', 'stakeholder engagement', 'excel', 'data analysis tools', 'salesforce', 'analytical skills', 'problem solving', 'critical thinking', 'communication', 'teamwork', 'organization', 'multitasking', 'attention to detail']",Mid senior,Sales Finance Analyst
MS Office,"['bloomberg', 'microsoft office', 'business objects', 'investment operations', 'private placements', 'excel', 'market trends', 'technology', 'workflows', 'portfolio management', 'credit analysis', 'private placements']",Mid senior,Investment Operations Analyst I (1014189)
Collaboration,"['python', 'sql', 'asset management', 'portfolio management', 'trading', 'investment management', 'risk management', 'financial analysis', 'data analysis', 'project management', 'business analysis', 'user acceptance testing', 'software development', 'communication', 'collaboration', 'problem solving', 'analytical skills', 'selfstarter', 'proactive', 'organized']",Mid senior,Senior Business Analyst - Risk Reporting
Leadership,"['accounting', 'finance', 'business administration', 'generally accepted accounting principles gaap', 'quickbooks', 'excel', 'problem solving', 'leadership', 'decision making', 'communication', 'human resources management', 'team building', 'supervisory', 'communication', 'financial systems', 'communication', 'communication']",Mid senior,Accountant IV (1657) - Citywide Examination
Financial Analysis,"['accounting', 'investment operations', 'financial analysis', 'banking', 'microsoft office', 'excel', 'attention to detail', 'organization', 'portfolio monitoring', 'data collection', 'process development', 'expense reporting', 'data organization']",Mid senior,Investment Operations Analyst
Financial Analysis,"['data management', 'process optimization', 'performance analysis', 'reporting', 'financial analysis', 'process improvement', 'project management', 'vba', 'excel', 'data analytics', 'programming', 'teamwork', 'communication', 'work ethic', 'problem solving', 'attention to detail', 'organization', 'private credit', 'real estate', 'risk management', 'accounting', 'product']",Mid senior,Investment Reporting Analyst
Finance & Economics,"['business analyst', 'credit risk management', 'financial risk management', 'internal reporting', 'external reporting', 'data mapping', 'data handling', 'sql', 'agile methodology', 'capital markets', 'fixed income', 'equities', 'cfa certification', 'mathematics', 'computer science', 'engineering', 'finance', 'employee share ownership plan', 'mentoring', 'coaching', 'cloud', 'data', 'ai', 'software']",Mid senior,Business Analyst - Market Risk
Financial Reporting,"['financial planning analysis', 'project accounting', 'cash management', 'administration', 'project management', 'financial reporting', 'budgeting', 'forecasting', 'variance analysis', 'performance monitoring', 'credit control', 'general ledger accounting', 'financial analysis', 'data analysis', 'communication', 'team leadership', 'problem solving', 'decision making', 'attention to detail', 'accuracy', 'time management', 'analytical skills', 'microsoft office', 'accounting software', 'enterprise resource planning erp systems', 'budgeting software', 'project management software', 'financial reporting software', 'financial analysis software', 'data analysis software']",Mid senior,Finance Business Partner
Business Development,"['procurement', 'financial planning', 'analysis', 'business partnering', 'communication', 'continuous improvement', 'influencing', 'proactivity', 'relationship building', 'negotiation', 'facilitation', 'presentation', 'commercial acumen', 'bonus', 'flexible benefits', 'career progression']",Mid senior,Finance Business Partner
Project Management,"['employee relations', 'succession planning', 'project management', 'financial services', 'professional services', 'matrix organization', 'flexible working', 'annual bonus']",Mid senior,Senior HR Business Partner - Real Estate Investment Management
Financial Analysis,"['financial analysis', 'business strategy', 'datadriven decisionmaking', 'financial modeling', 'excel', 'sql', 'crossfunctional collaboration', 'business insights', 'problem solving']",Mid senior,Financial Analyst II #: 23-05532
Project Management,"['sap', 'business analysis', 'system integration', 'project management', 'process improvement', 'system administration', 'troubleshooting', 'requirements gathering', 'documentation', 'testing', 'compliance', 'erp', 'cloud computing', 'saas', 'supply chain management', 'life sciences', 'regulatory compliance', 'fda', 'sap s4hana', 'sap', 'life sciences', 'communication', 'travel']",Mid senior,"SAP Senior Business Systems Analyst, Finance and Controlling"
MS Office,"['healthcare administration', 'business', 'law', 'communication', 'communication', 'computer proficiency', 'data entry', 'software proficiency', 'attention to detail', 'pharmaceutical industry', 'healthcare industry', 'quality assurance', 'improvement', 'compliance', 'communication', 'organization', 'administrative', 'office', 'mathematical concepts', 'data collection', 'microsoft office', 'excel', 'outlook', 'word', 'project management', 'professional standards', 'teamwork']",Mid senior,Pharmacy Compliance Specialist
Financial Analysis,"['business development', 'project management', 'financial analysis', 'strategic planning', 'market research', 'financial modeling', 'business case development', 'sustainability', 'microsoft office', 'excel', 'powerpoint', 'teamwork', 'communication', 'multitasking', 'networking', 'proactive attitude', 'positive attitude', 'travel willingness']",Mid senior,Finance Business Partner
MS Office,"['communication', 'communication', 'computer proficiency', 'data entry', 'software proficiency', 'attention to detail', 'quality assurance', 'compliance', 'problem solving', 'data collection', 'mathematical concepts', 'microsoft office', 'project management', 'teamwork', 'respect', 'integrity', 'passion', 'healthcare administration', 'business', 'law', 'excel', 'outlook', 'word']",Mid senior,Pharmacy Compliance Specialist
Communication,"['cybersecurity', 'incident response', 'communication', 'analytical and problemsolving', 'bilingualism']",Mid senior,"Analyste principal(e) de systèmes – conformité et contrôle général des TI / Sr. System Analyst, IT General Control and Compliance"
Risk & Compliance,"['compliance', 'risk management', 'project management', 'analytical skills', 'multitasking', 'attention to detail', 'communication', 'self motivation', 'independence', 'adaptability', 'gdpr', 'conflict of interest', 'financial crime', 'compliance testing', 'risk control']",Mid senior,Compliance Officer
Data Analysis,"['sap', 'accounts receivable management', 'data analytics', 'customer service', 'accounting', 'finance', 'excel', 'data analysis', 'reporting', 'financial analysis', 'business intelligence', 'data visualization', 'auditing', 'reconciliation', 'journal entries', 'training', 'communication', 'problem solving']",Mid senior,SR. CREDIT ANALYST - REPORTING (HYBRID)
Data Analysis,"['microsoft office', 'sql', 'data analysis', 'problem solving', 'communication', 'relationshipbuilding', 'business process optimization', 'data integrity', 'data validation', 'process automation', 'crossfunctional collaboration', 'accounting', 'finance', 'information systems']",Mid senior,Financial Systems Analyst
Financial Analysis,"['budget analysis', 'financial analytics', 'financial modeling', 'financial reporting', 'fpa', 'business analytics', 'excel', 'microsoft office', 'cost accounting', 'inventory accounting', 'standard costing', 'us gaap', 'accounting', 'financial analysis', 'financial reporting', 'budgeting', 'forecasting', 'business intelligence', 'data analysis', 'problem solving', 'communication', 'presentation', 'attention to detail', 'accuracy', 'time management', 'teamwork']",Mid senior,Senior Financial Analyst
Data Analysis,"['data analysis', 'reporting', 'project management', 'communication', 'excel', 'alteryx', 'cash management', 'analytical skills', 'problem solving']",Mid senior,Treasury Analyst - CC
MS Office,"['excel', 'powerpoint', 'financial modeling', 'economic analysis', 'risk management', 'project finance', 'due diligence', 'dashboards', 'research', 'writing', 'quantitative analysis', 'attention to detail', 'organization', 'communication', 'consulting', 'travel']",Mid senior,"Senior Analyst, Project Finance (Business Analysis)"
Financial Reporting,"['cash flow management', 'bank account management', 'financial reporting', 'risk assessment', 'treasury operations', 'compliance', 'process improvement', 'ad hoc projects', 'excel', 'financial software', 'organization', 'time management', 'communication', 'communication', 'independent work', 'teamwork', 'accounting', 'mba', 'cash management', 'strong analytical', 'strong communication']",Mid senior,Treasury Analyst
Attention to Detail,"['tableau', 'business intelligence', 'relational databases', 'data visualization', 'access', 'sql', 'statistical', 'financial statement analysis', 'balance sheet analysis', 'modeling', 'r', 'python', 'data warehousing', 'microsoft office', 'finance', 'business', 'business intelligence', 'analytical skills', 'problem solving', 'communication', 'communication', 'communication', 'proactive', 'independent', 'attention to detail']",Mid senior,Financial Reporting Analyst Job
Financial Reporting,"['accounting', 'financial modeling', 'supply chain management', 'inventory management', 'budget forecasting', 'financial reporting', 'bank reconciliation', 'kpi management', 'microsoft office', 'erp systems', 'job costing', 'manufacturing industry', '3 years of accounting', 'excellent analytical']",Mid senior,Senior FPandA Analyst | Growing Manufacturer | Reporting to CFO
Customer Service & Sales,"['microsoft office', 'excel', 'budgeting', 'financial management', 'vendor management', 'customer service', 'communication', 'problem solving', 'organization', 'multitasking', 'real estate', 'business management']",Mid senior,Portfolio Community Association Manager
Finance & Economics,['acquisition'],Mid senior,Investment Team Attorney
MS Office,"['finance', 'accounting', 'microsoft office', 'outlook', 'excel', 'pivot tables']",Mid senior,Finance Administrator
Financial Analysis,"['financial analysis', 'accounting concepts', 'financial planning', 'budget preparation', 'financial forecasting', 'data analysis', 'financial reporting', 'generally accepted accounting principles', 'problem solving', 'analytical skills', 'statistical analysis', 'finance', 'accounting']",Mid senior,(Worldpay) Financial Analyst- CIO
Communication,"['healthcare compliance', 'medicare', 'medicaid', 'medical terminology', 'billing', 'reimbursement', 'compliance policies', 'procedures', 'documentation', 'communication', 'communication', 'database management', 'confidentiality', 'cpc']",Mid senior,Healthcare Compliance Analyst
Accounting,"['financial reporting', 'accounting', 'finance', 'gaap', 'sec', 'fasb', 'cpa', 'financial reporting software', 'analytical skills', 'problem solving', 'decision making', 'attention to detail', 'multitasking', 'time management', 'communication', 'communication', 'communication', 'teamwork', 'manufacturing industry']",Mid senior,Senior Financial Reporting Analyst
Customer Service & Sales,"['sap', 'dod', 'computer science', 'information systems', 'business', 'engineering', 'secret clearance', 'microsoft office', 'attention to detail', 'strong organizational', 'customer service', 'project management', 'problem solving', 'analytical skills', 'time management']",Mid senior,Staff Regulatory Compliance Analyst- ISSO
Collaboration,"['compliance', 'reporting', 'documentation', 'recordkeeping', 'automation', 'regulations', 'procedures', 'brokerage', 'vendor management', 'customer relations', 'process improvement', 'trade compliance', 'communication', 'collaboration', 'problem solving', 'organization', 'selfstarting', 'initiative', 'accountability', 'subject matter expertise', 'detail oriented', 'accuracy', 'word', 'excel', 'access', 'adobe', 'sharepoint']",Mid senior,Sr Trade Compliance Analyst
Accounting,"['us gaap', 'ifrs', 'accounting', 'finance', 'cpa', 'project management', 'audit', 'manufacturing', 'construction', 'communication', 'systems', 'flexibility', 'initiative', 'analytical skills', 'problem solving', 'teamwork', 'time management', 'multitasking', 'independence']",Mid senior,Sr. Financial Reporting Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'excel', 'accounts payable', 'financial systems', 'financial planning', 'financial modeling', 'contract compliance', 'tableau', 'powerbi', 'analysis', 'negotiations', 'accounts receivable', 'cash application', 'research', 'reconciliation', 'audits', 'process improvement']",Mid senior,"Sr Assoc, Finance (New Grad- Mason, OH)"
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'data analysis', 'accounting principles', 'communication', 'problem solving', 'analytical skills']",Mid senior,(Worldpay) Financial Analyst Specialist Strategy and M&A
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'reporting', 'hyperion', 'financial services', 'accounting', 'finance', 'analytical skills', 'statistical', 'problem solving', 'time management']",Mid senior,Financial Analyst Specialist
Financial Analysis,"['accounting', 'finance', 'ifrs', 'taxation', 'project management', 'financial analysis', 'financial modeling', 'corporate governance', 'cash management', 'sap', 'english', 'cpa', 'ca', 'cfa', 'mba']",Mid senior,(Global Oil Gas) Senior Financial Analyst
Accounting,"['financial analysis', 'financial modeling', 'ifrs', 'sap', 'financial consulting', 'financial reporting', 'accounting research', 'financial analysis', 'business development', 'mergers acquisitions', 'corporate governance', 'internal controls', 'consulting', 'english proficiency', 'accounting', 'finance', 'cpa', 'ca', 'cfa', 'mba']",Mid senior,(Global Oil Gas) Senior Financial Analyst
MS Office,"['compliance', 'regulation', 'financial services', 'banking', 'accounting', 'project management', 'microsoft office', 'excel', 'word', 'client communication', 'prioritization', 'decision making', 'discretion', 'communication', 'organization', 'flexibility']",Mid senior,Analyst - Investment Guideline Management
Risk & Compliance,"['compliance', 'regulatory compliance', 'antimoney laundering', 'project management', 'financial regulations', 'risk management', 'analysis', 'communication', 'documentation', 'research', 'implementation', 'compliance testing', 'banking regulations', 'communication', 'communication', 'communication']",Mid senior,Compliance Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'financial forecasting', 'financial planning', 'data analysis', 'process improvement', 'communication', 'power bi', 'alteryx', 'accounting principles', 'analytical skills', 'statistical', 'problem solving']",Mid senior,Financial Analyst Senior
MS Office,"['risk management', 'credit analysis', 'financial statement analysis', 'modeling', 'microsoft office', 'bloomberg', 'equities', 'fixed income', 'derivatives', 'client interaction', 'communication', 'strong excel']",Mid senior,"Hedge Fund Credit Risk Manager, VP"
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'research', 'accounting principles', 'problem solving', 'data analysis', 'communication', 'teamwork']",Mid senior,(Worldpay) Sr. Financial Analyst - TSA Agreements
Collaboration,"['accounting', 'finance', 'supply chain', 'manufacturing', 'analytical skills', 'problem solving', 'financial reporting', 'data analysis', 'financial modeling', 'forecasting', 'financial regulations', 'standards', 'communication', 'collaboration', 'microsoft office', 'excel']",Mid senior,Supply chain Finance Analyst
MS Office,"['risk management', 'excel', 'powerpoint', 'word', 'data analysis', 'loss prevention', 'claims management', 'conceptual', 'strategic thinking', 'project management', 'time management', 'accuracy', 'communication', 'communication', 'problem solving']",Mid senior,Risk Management Analyst
Data Analysis,"['financial planning', 'budgeting', 'variance analysis', 'reporting', 'data analysis', 'kpi management', 'financial modeling', 'gaap', 'communication', 'collaboration', 'initiative', 'independent work', 'intacct', 'accounting software']",Mid senior,Senior Financial Analyst
Financial Analysis,"['finance', 'healthcare', 'budgeting', 'forecasting', 'project management', 'communication', 'leadership', 'accounting', 'financial analysis']",Mid senior,"Finance Manager, The University of Vermont Health Network Medical Group"
MS Office,['microsoft office'],Mid senior,Underwriter Assistant - Team Stoneman
MS Office,"['operations', 'audit', 'erisa', 'excel', 'word', 'access', 'presentation', 'communication', 'organization', 'team environment', 'analytical skills']",Mid senior,Operations and Audit Analyst
Project Management,"['risk analysis', 'product management', 'project management', 'vendor management', 'corporate compliance', 'strategic thinking']",Mid senior,Business Banking Portfolio Analyst I
