job_cluster,skills_filtered,job_level,job_title
Teamwork,"['leasing', 'property management', 'customer service', 'microsoft office', 'yardi voyager', 'english', 'ability to work independently', 'teamwork', 'flexibility', 'yardi voyager', 'property management', 'leasing', 'communication', 'time management', 'proactivity', 'higher education', 'sales', 'leasing']",Mid senior,Leasing Consultant | 12 Central Square
Negotiation,"['sales', 'customer service', 'real estate', 'communication', 'presentation', 'negotiation', 'teamwork', 'problem solving', 'microsoft office', 'customer relationship management crm', 'data analysis', 'market research', 'homebuilding', 'physical stamina']",Mid senior,New Home Advisor
Cyber Security,"['risk assessment', 'incident investigation', 'safety audits', 'continuous improvement', 'sops']",Mid senior,"Health, Safety and Environment (HSE) Advisor"
Data & Analytics,"['sales', 'customer service', 'agronomy', 'data analysis', 'communication']",Mid senior,Crop Production Advisor
Data & Analytics,"['sales', 'communication', 'data analysis', 'regulatory compliance', 'agronomy', 'customer relationship management']",Mid senior,Crop Production Advisor (Temporary)
Attention to Detail,"['human resources', 'business', 'microsoft office', 'employee benefits', 'payroll', 'communication', 'attention to detail', 'us citizenship']",Mid senior,HR Advisor
Attention to Detail,"['customer service', 'sales', 'drivers license', 'communication', 'active listening', 'problem solving', 'teamwork', 'organization', 'time management', 'adaptability', 'physical fitness', 'attention to detail', 'insurance']",Mid senior,Customer Service Consultant
Project Management,"['primavera p6', 'project management', 'technical writing', 'data analysis', 'problem solving', 'budget management', 'project scheduling', 'contract management', 'microsoft office', 'autocad', 'revit', 'building codes']",Associate,Construction Consultant
Analytical Thinking,"['business', 'management', 'engineering', 'supervision', 'conflict management', 'consensus building', 'problem solving', 'collaboration', 'client management', 'observation', 'analytical skills', 'numerical reasoning', 'business acumen', 'leadership', 'teamwork', 'constructive feedback', 'ms office suite', 'medical insurance', 'dental insurance', 'vision insurance', 'disability insurance', 'fsa', '401k', 'vacation', 'paid time off', 'career advancement', 'equal employment opportunity']",Mid senior,Operations Supervisor Management Consultant (TK)
Analytical Thinking,"['ms office suite', 'management', 'business acumen', 'business analysis', 'data analysis', 'problem solving', 'business consulting', 'team management', 'change management', 'leadership', 'communication', 'supervision', 'analytical skills', 'conflict resolution', 'crossfunctional collaboration', 'project management', 'consulting', 'adaptability']",Mid senior,Manufacturing Supervisor Management Consultant (TK)
Analytical Thinking,"['business management', 'engineering', 'team management', 'conflict resolution', 'problem solving', 'collaboration', 'leadership', 'analytical skills', 'adaptability', 'ms office suite', '401k', 'paid time off', 'career advancement opportunities']",Mid senior,Manufacturing Supervisor (Management Consultant - MA)
Analytical Thinking,"['microsoft office products', 'rn license', 'oral and written communication', 'communication', 'data analysis', 'ability to work in a team environment', 'analytical skills', 'nursing', 'claims handling']",Mid senior,RN Consultant - Liability at Sedgwick
Project Management,"['communication', 'customer service', 'leadership', 'team player', 'project management', 'organization', 'problem solving', 'conflict resolution', 'empathy', 'confidentiality', 'first aid', 'cpr', 'criminal record check']",Mid senior,Resident Advisor
Formal Qualifications & Degrees,"['database management', 'research and analysis', 'risk management', 'customer service', 'written and oral communication', 'microsoft office 365', 'slack', 'zoom', 'bachelors degree', 'program management']",Mid senior,Senior Program Coordinator - Office of Global Strategy and Initiatives (GSI)
Problem Solving,"['reading', 'literacy', 'mentoring', 'fundraising', 'public speaking', 'sponsorship', 'community engagement', 'leadership', 'advocacy', 'nonprofit management', 'grant writing', 'event planning', 'team building', 'networking', 'communication', 'communication', 'problem solving', 'decisionmaking', 'time management', 'organization', 'microsoft office', 'zoom']",Associate,Volunteer: Join Read to a Child's Detroit/Pontiac Advisory Board
Data & Analytics,"['agile', 'engineering', 'finance', 'fintech', 'jira', 'looker', 'mba', 'sql']",Mid senior,Technical Program Manager - Manager (Compliance Product & Strategy)
Teamwork,"['retail sales', 'customer service', 'communication', 'teamwork', 'problem solving', 'adaptability', 'sales targets', 'technology']",Mid senior,"Retail Sales Consultant, Place Ste-Foy [Virgin Plus]"
Negotiation,"['sales', 'negotiation', 'closing', 'customer service', 'communication', 'presentation', 'motivation']",Mid senior,Experienced Sales Consultant
Formal Qualifications & Degrees,"['bachelors degree', 'communication', 'coaching', 'counseling', 'training']",Mid senior,Franchise Consultant - Ohio
Attention to Detail,"['customer service', 'communication', 'windows', 'attention to detail', 'planning', 'organizing', 'property management', 'resident retention', 'high school diploma', 'ged', 'trade', 'technical', 'leasing', 'time management', 'travel']",Mid senior,"Leasing Consultant, Multifamily"
Teamwork,"['communication', 'persuasion', 'networking', 'market research', 'client relationship management', 'lead generation', 'database management', 'social media', 'sales', 'troubleshooting', 'teamwork', 'problem solving', 'market intelligence', 'interviewing', 'sourcing', 'screening']",Mid senior,Graduate Recruitment Consultant
Negotiation,"['sales', 'customer service', 'negotiation', 'communication', 'presentation', 'prospecting', 'lead generation', 'appointment scheduling', 'outside sales', 'travel', 'interior design', 'home improvement', 'warranties', 'financing', 'microsoft office', 'ipad', 'email']",Mid senior,"DESIGN CONSULTANT- Mckinney,TX"
MS Office,"['program design', 'data analytics', 'data visualization', 'market intelligence', 'hris', 'legal', 'communication', 'organization', 'accuracy', 'stakeholder relations', 'excel', 'ms access', 'microsoft office', 'human resources', 'finance', 'mathematics', 'economics', 'accounting', 'business']",Mid senior,Compensation Consultant
Data & Analytics,"['data management', 'python', 'data management', 'budgeting', 'planning']",Mid senior,Hyperion Consultant
Negotiation,"['relationship building', 'client management', 'candidate management', 'microsoft office', 'communication', 'problem solving', 'teamwork', 'attention to detail', 'time management', 'sales', 'negotiation', 'client acquisition', 'job placement', 'commission structure', 'training and development', 'full time', 'flexible hours', 'health insurance', 'life insurance', 'sick leave', 'pension scheme', 'travel']",Mid senior,Recruitment Consultant
Retail Operations,"['customer service', 'cashier', 'retail', 'communication', 'merchandising', 'signage', 'promotions']",Mid senior,Beauty Advisor - Located in Minneapolis Saint Paul International Airport
Leadership,['clinical governance'],Mid senior,Locum Consultant Anaesthetics
Adaptability,"['communication', 'active listening', 'sales', 'customer service', 'conflict resolution', 'adaptability', 'problem solving', 'flexibility', 'shift work', 'microsoft office']",Associate,Customer Sales Advisor - Glasgow
Adaptability,"['sales', 'client service', 'retail', 'communication', 'teamwork', 'flexibility', 'adaptability', 'learning and development']",Mid senior,Sales Consultant
Teamwork,"['research and analysis', 'microsoft office products', 'relationship building', 'adaptability', 'project management', 'teamwork']",Mid senior,Legal Consultant - Municipal Technical Advisory Service (West Tennessee)
Formal Qualifications & Degrees,"['microsoft office', 'high school diploma', 'bachelors degree', 'sales', 'crm', 'project management']",Associate,Solutions Consultant
Analytical Thinking,"['project management', 'microsoft office', 'sharepoint', 'teams', 'jira', 'visio', 'agile', 'business process analysis', 'kpi', 'client communication', 'documentation', 'pmp certification', 'analytical skills', 'organization', 'communication']",Associate,Sr. QA/Business Analyst
Attention to Detail,"['communication', 'organization', 'time management', 'problem solving', 'customer service', 'relationshipbuilding', 'attention to detail', 'organizational change management', 'background check']",Mid senior,Retail Business Ambassador Consultant
Data & Analytics,"['healthcare', 'data analytics', 'electronic health records', 'meeting facilitation', 'salesforce']",Mid senior,Care Consultant Sr
Formal Qualifications & Degrees,"['category management', 'financial analysis', 'sales', 'drivers license', 'motor vehicle operation', '401k', 'medical benefits', 'dental benefits', 'vision benefits', 'paid time off', 'parental leave', 'paid training', 'life insurance', 'disability insurance', 'holidays', 'diversity', 'equity', 'inclusion', 'bachelors degree']",Associate,Category Consultant I
Business Development & Customer Acquisition,"['accounting software', 'payroll', 'sales', 'cost savings', 'account management', 'customer retention', 'cold calling', 'networking', 'prospecting', 'pipeline management', 'project management', 'active listening', 'presentation', 'research', 'teamwork', 'objection handling', 'typing', 'teams', 'office 365', 'crm', 'communication', 'communication', 'sales', 'technical', 'bachelors degree', 'bonuses']",Mid senior,Business Sales Consultant
MS Office,"['project management', 'data collection', 'data analysis', 'gis', 'microsoft access', 'excel', 'statistics', 'public health']",Associate,Urban Planning Consultant | Neighborhood Redevelopment | Full Time
Time Management,"['assessment', 'reporting', 'protected species surveys', 'mitigation', 'technical reports', 'time management', 'full uk driving license', 'life assurance', 'health cash plan']",Mid senior,Assistant / Consultant / Senior / Principal Ecologist
Negotiation,"['consultative sales', 'sales', 'solution selling', 'building codes', 'marketing', 'negotiation', 'sales targets', 'field sales', 'travel', 'valid drivers license', 'reliable vehicle', 'construction', 'postsecondary education']",Mid senior,Sunroom Sales Consultant
Formal Qualifications & Degrees,"['sales', 'account management', 'financial analysis', 'businesstobusiness sales', 'value proposition', 'time management', 'organization', 'selfstarter', 'resourcefulness', 'team environment', 'communication', 'communication', 'relationship building', 'bachelors degree', 'finance', 'accounting']",Associate,"Sales Consultant, Surety"
Project Management,"['obstetrics', 'clinical audit', 'clinical governance', 'risk management']",Mid senior,Non - Resident Consultant in Obstetrics & Gynaecology
Data & Analytics,"['accounting', 'cpa certification', 'data analysis', 'microsoft office', 'teams', 'outlook', 'budgeting', 'communication', 'crossselling']",Mid senior,"Manager Accountant, Small Business Advisory"
MS Office,"['accounting', 'financial statements', 'microsoft office', 'outlook', 'excel', 'word', 'powerpoint']",Associate,Accountant - Tax & Business Advisory
Analytical Thinking,"['accounting', 'financial analysis', 'compliance', 'communication', 'analytical skills', 'problem solving']",Mid senior,Senior Accounting Consultant
Communication,"['legal research', 'legal writing', 'legal analysis', 'litigation', 'communication', 'writing', 'research', 'analysis', 'sound judgment', 'litigation', 'telework', 'us citizenship', 'background investigation', 'financial statements']",Mid senior,Attorney-Advisor (General)
Negotiation,"['strategic account management', 'sales', 'communication', 'negotiation', 'critical thinking', 'data analysis', 'bachelors degree', 'sales', 'travel']",Mid senior,Strategic Account Executive
Negotiation,"['account management', 'analysis', 'budget management', 'communication', 'customer relationship management', 'crm software', 'data analysis', 'excel', 'financial analysis', 'communication', 'microsoft office', 'negotiation', 'presentation', 'problem solving', 'sales', 'technical documentation', 'time management', 'travel']",Mid senior,Strategic Account Manager
Business Development & Customer Acquisition,"['sales', 'customer relationship management', 'business development', 'account management', 'communication', 'negotiation', 'teamwork', 'time management', 'microsoft office', 'analytical skills', 'problem solving', 'presentation', 'drivers license', 'reading', 'writing', 'lifting', 'carrying']",Associate,Strategic Account Manager
Sales,"['tax preparation', 'tax audit support', 'tax planning', 'effective communication', 'fastpaced environment', 'cpa certification', 'business tax returns', 'sales', 'marketing', 'bachelors degree in accounting', 'medical coverage', '401k retirement savings plan', 'employee stock purchase plan', 'tax prep benefit', 'collaborative teams', 'diversity and inclusion', 'equal opportunity employer']",Mid senior,Block Advisors Tax Advisor
Attention to Detail,"['sales', 'client relationship building', 'it', 'attention to detail', 'salesforce', 'presentation', 'property', 'art', 'furniture', 'design', 'willingness to travel']",Associate,Luxury Sales Consultant - British Sculpture Design Brand
Negotiation,"['change management', 'negotiation', 'brand strategy', 'market research', 'persuasion', 'sales operations', 'goal setting', 'underwriting']",Mid senior,"Account Manager V, Commercial - Strategic/Labor & Trust"
Business Development & Customer Acquisition,"['accounting', 'finance', 'economics', 'cpa', 'communication', 'presentation', 'reporting', 'technologies', 'analysis', 'tuition reimbursement', 'worklife balance', 'experience']",Associate,Staff/Associate Accountant- Real estate/Financial advisory
Negotiation,"['sales', 'businesstobusiness sales', 'cold calling', 'networking', 'crossselling', 'customer relationship management', 'sales strategy', 'time management', 'prioritization', 'multitasking', 'communication', 'presentation', 'negotiation', 'teamwork', 'resilience', 'ai', 'machine learning', 'payroll', 'tax', 'human resources', 'benefits', 'college degree', 'field sales', 'social media marketing']",Associate,Strategic Account Executive
Collaboration,"['analytics', 'data visualization', 'sql', 'looker', 'snowflake', 'sales', 'kpis', 'reporting', 'communication', 'collaboration', 'problem solving', 'critical thinking', 'business strategy', 'program management', 'financial analysis', 'forecasting', 'budgeting', 'decisionmaking', 'leadership', 'team management', 'risk management']",Associate,"Business Analyst, Sales Analytics"
MS Office,"['microsoft office', 'excel', 'powerpoint', 'proofreading', 'insurance license', 'business degree', 'life and health license']",Associate,H&B Senior Consultant
Data & Analytics,"['customer service', 'communication', 'problem solving', 'data analysis']",Mid senior,"Mortgage Service Advisor in Dudley, UK"
MS Office,"['private equity', 'corporate finance', 'capital markets', 'sec reporting', 'us gaap', 'excel', 'powerpoint', 'project management', 'team player', 'fastpaced environment', 'collaboration', 'diversity', 'inclusion', 'equal opportunity employer']",Associate,Associate - Transaction Advisory/Financial Due Diligence
Cyber Security,"['sales', 'relationship management', 'customer success', 'gcp', 'azure', 'aws', 'compensation and benefits']",Mid senior,Strategic Account Executive - Atlanta
Negotiation,"['applications', 'network security', 'firewalls', 'networking', 'negotiation', 'english communication', 'salesforce', 'outreach', 'zoominfo', 'bachelors degree', 'valid drivers license', 'safe driving record']",Mid senior,"Major Account Executive, Strategic Sales, Spectrum Enterprise"
Negotiation,"['sales acumen', 'leadership', 'communication', 'relationship building', 'problem solving', 'planning', 'execution', 'selfmotivation', 'entrepreneurship', 'sales', 'account management', 'forecasting', 'closing', 'negotiation']",Associate,Strategic Enterprise Account Executive
Retail Operations,"['customer service', 'sales', 'team work', 'communication', 'attention to detail', 'initiative', 'organization', 'consultation', 'merchandising', 'business judgment', 'retail', 'sales', 'employee discount']",Associate,Beauty Advisor
Data & Analytics,"['financial analysis', 'forecasting', 'financial modeling', 'business planning', 'data analysis', 'reporting', 'process mapping', 'performance improvement', 'presentation', 'research', 'proposal development', 'accounting', 'finance', 'auditing', 'managed care', 'tableau', 'sql', 'spss', 'power bi', 'certified public accountant cpa', 'chartered financial analyst cfa', 'financial statements', 'market analysis', 'project management', 'organization', 'leadership', 'integrity', 'inclusivity', 'diversity', 'teamwork', 'ambiguity tolerance', 'fastpaced environment', 'communication', 'critical thinking', 'problem solving', 'independent judgment', 'ability to travel']",Associate,Health Plan and Managed Care Consultant
Formal Qualifications & Degrees,"['digital marketing', 'verbal and written communication', 'sales', 'sales training', '401k retirement plan', 'bachelors degree', 'valid drivers license', 'auto insurance', 'vehicle']",Mid senior,Marketing Consultant
Problem Solving,"['sales', 'business development', 'customer relationship management', 'contract compliance', 'communication', 'performance measurement', 'healthcare', 'problem solving', 'entrepreneurial mindset', 'executive presence', 'travel']",Associate,Senior Business Development Consultant - Independent Reference Lab
MS Office,"['sales', 'consulting', 'workday', 'salesforce', 'erp', 'crm', 'solution selling', 'sales pipeline management', 'business case development', 'proposal writing', 'pipeline management', 'lead generation', 'trade shows', 'communication', 'presentation', 'relationship building', 'microsoft teams', 'zoom', 'video conferencing', 'excel', 'powerpoint', 'word', 'team collaboration', 'private equity', 'equal employment opportunity', 'nondiscrimination', 'benefits package', 'medical', 'dental', 'vision', 'pto', 'sick time', 'flexible work arrangements', '401k', 'profit sharing', 'wellness program', 'parental leave', 'paid holidays']",Mid senior,Senior Sales Consultant
MS Office,"['commercial insurance', 'risk management', 'data interpretation', 'microsoft office', 'written and verbal communication']",Mid senior,Commercial Lines Casualty Consultant - Construction Project Risks
Business Development & Customer Acquisition,"['sales', 'human resources', 'businesstobusiness sales', 'networking', 'closing sales', 'territory management', 'client relationships', 'communication', 'presentation', 'time management', 'prioritization', 'multitasking', 'college degree', 'business', 'military', 'social media', 'equity', 'inclusion', 'belonging', 'agile environment', 'fastpaced environment', 'career growth', 'training and development', 'mentorship', 'benefits', 'worklife balance', 'volunteering', 'diversity', 'equal employment opportunity', 'ethics', 'compliance']",Associate,Strategic Account Executive
Negotiation,"['b2b sales', 'negotiation', 'presentation', 'closing', 'english communication', 'change management', 'travel', 'network security', 'firewalls', 'salesforce', 'outreach', 'zoominfo', 'high school diploma']",Mid senior,"Major Account Executive, Strategic Sales, Spectrum Enterprise"
Project Management,"['software implementation', 'troubleshooting', 'software solutions', 'salesforce', 'project management', 'process management', 'client solutions', 'french', 'english']",Mid senior,"Bilingual Associate Consultant, Solutions"
Business Development & Customer Acquisition,"['cold calling', 'consultative selling', 'customer support', 'uk driving license', 'car allowance']",Mid senior,Sales Consultant - Electrical
Teamwork,"['audit', 'regulatory', 'valuation', 'problem solving', 'leadership', 'communication', 'teamwork', 'ethics', 'consolidation', 'transfers of financial assets', 'debt', 'equity', 'foreign exchange', 'securitizations', 'investment accounting', 'transfer accounting', 'private placements', 'post deal accounting', 'restructurings', 'change in accounting standards', 'cpa license', 'jd', 'phd', 'mba', 'tax', 'economics', 'hospitality', 'pmp', 'accounting', 'economics', 'finance', 'juris doctorate', 'juris doctorate', 'phd', 'mba', 'tax', 'economics']",Mid senior,"Financial Markets & Real Estate - Accounting Advisory, Manager"
MS Office,"['everify', 'comprehensive benefits package', 'retirement plan', 'flexible spending account', 'employee assistance program', 'telework', 'tuition reimbursement']",Mid senior,ATTORNEY ADVISOR (CORE)
Collaboration,"['account management', 'problem solving', 'flexibility', 'collaboration', 'innovative solutions', 'project management', 'strong attention to detail', 'multitasking', 'financial acumen', 'diversity and inclusion', 'worklife balance', 'equal opportunity employer']",Associate,Health Solutions Consultant
Teamwork,"['construction safety', 'mentoring', 'coaching', 'data analysis', 'construction', 'communication', 'computer', 'teamwork', 'leadership', 'autonomy', 'career development']",Mid senior,"Safety Advisor, Tamworth"
Attention to Detail,"['accounting', 'tax consulting', 'payroll', 'quickbooks', 'profitability', 'client relations', 'team environment', 'problem solving', 'communication', 'attention to detail']",Associate,Accounting & Tax Consultant
Project Management,"['accounting', 'administration', 'budgeting', 'client management', 'communication', 'consulting', 'cost management', 'data analysis', 'financial reporting', 'industry standards', 'leadership', 'performance management', 'project management', 'requirements gathering', 'reporting', 'risk management', 'schedule management', 'stakeholder management', 'task management', 'team management', 'time management', 'troubleshooting', 'communication', 'workflows']",Mid senior,Accounting Consultant
Negotiation,"['sales', 'business development', 'account management', 'relationship building', 'cold calling', 'negotiation', 'closing', 'market research', 'networking', 'communication', 'organization', 'time management', 'prospecting', 'lead generation', 'human resources', 'payroll', 'tax', 'benefits', 'compliance', 'crm', 'social media']",Associate,Strategic Account Executive
Teamwork,"['account management', 'client management', 'bachelors degree', 'communication', 'communication', 'organization', 'teamwork', 'detail orientation', 'ability to travel', 'data analysis', 'quantitative analysis', 'qualitative analysis', 'retention', 'client satisfaction', 'growth', 'sales', 'consulting']",Mid senior,Strategic Account Executive
Data & Analytics,"['financial modeling', 'financial analysis', 'profitability analysis', 'costbenefit analysis', 'budgeting', 'financial reporting', 'strategic planning', 'business development', 'project management', 'data analysis', 'tableau', 'sql', 'spss', 'power bi', 'certified public accountant cpa', 'chartered financial analyst cfa', 'high energy', 'willingness to travel', 'diversity inclusion']",Associate,Health Plan and Managed Care Consultant
Teamwork,"['litigation', 'bar membership', 'legal', 'communication', 'writing', 'research', 'analysis', 'teamwork', 'judgment', 'telework', 'us citizenship', 'background investigation', 'security clearance', 'equal opportunity employer', 'paid vacation', 'sick leave', 'holidays', 'health insurance', 'life insurance', 'dental insurance', 'vision insurance', 'flexible spending accounts']",Mid senior,Attorney-Advisor (General)
Analytical Thinking,"['credit analysis', 'risk assessment', 'financial analysis', 'due diligence', 'competitive analysis', 'analytical skills', 'problem solving', 'detail oriented', 'microsoft office', 'english communication', 'equal opportunity employer']",Mid senior,"Advisor, Loan Underwriting"
Analytical Thinking,"['saas', 'erp', 'finance', 'crm', 'procurement', 'customer success', 'sales', 'b2b', 'supply chain', 'data entry', 'reporting', 'crossfunctional teams', 'customer onboarding', 'account planning', 'presentation', 'communication', 'german', 'french', 'problem solving', 'analytical skills', 'customercentricity', 'equal employment opportunity', 'nondiscrimination']",Mid senior,Strategic Enterprise Account Executive
Project Management,"['public relations', 'sustainability', 'content creation', 'social media', 'media relations', 'strategic thinking', 'project management', 'organization', 'communication', 'communication']",Associate,"Senior Account Executive, Sustainability PR - Global Strategic Communications Agency"
Teamwork,"['sales', 'customer relationship management crm', 'b2b sales', 'account management', 'sales forecasting', 'communication', 'teamwork', 'data analysis', 'problem solving', 'leadership', 'college degree', 'medical coverage', 'dental coverage', 'flexible spending accounts', 'life insurance', 'hybrid work environment', 'equal opportunity employer']",Associate,Junior Strategic Account Manager
Negotiation,"['customer service', 'forecasting', 'pipeline management', 'negotiation', 'closing', 'proposals', 'digital transformation', 'execution', 'revenue', 'building relationships', 'integrity', 'honesty', 'positive attitude', 'execution', 'planning', 'discipline']",Associate,Strategic Enterprise Account Executive
Negotiation,"['telecommunications', 'sales', 'networking', 'b2b', 'salesforce', 'hardware', 'applications', 'network security', 'firewalls', 'english communication', 'change management', 'negotiation', 'presentation', 'closing', 'high school diploma', 'bachelors degree']",Mid senior,"Major Account Executive-Strategic, Spectrum Enterprise"
Negotiation,"['sales', 'services', 'cold calling', 'prospecting', 'revenue growth', 'customer satisfaction', 'business development', 'logistics', 'shipping', 'healthcare', 'customer relationship management', 'account management', 'sales forecasting', 'financial acumen', 'negotiation', 'strategic planning', 'client relationships', 'problem solving', 'technical', 'analytical skills', 'communication', 'teamwork', 'adaptability', 'mentoring', 'diversity', 'inclusion', 'equal opportunity']",Associate,"Territory Consultant, OptiFreight Logistics"
Negotiation,"['b2b sales', 'sales enablement', 'sales forecasting', 'relationship building', 'negotiation', 'presentation', 'closing', 'data security', 'salesforce', 'outreach', 'zoominfo', 'english communication']",Mid senior,"Major Account Executive, Strategic, Spectrum Enterprise"
Collaboration,"['collaboration', 'critical thinking', 'emotional intelligence', 'executive presence', 'growth mindset', 'intellectual curiosity', 'accounting', 'financial reporting', 'auditing', 'taxation', 'microsoft office', 'quickbooks', 'netsuite', 'people management', 'project management', 'financial analysis', 'relationship building', 'costbenefit analysis', 'risk assessment']",Mid senior,Real Estate Consulting Senior Manager - Remote | WFH
Time Management,"['b2b sales', 'sales', 'organization', 'time management', 'communication', 'consultative approach', 'business continuity', 'relationship building', 'college degree', 'customer care', 'coaching', 'personal development', 'security', 'subject matter experts']",Associate,Field Sales Consultant
Negotiation,"['saas', 'sales cycle management', 'negotiation', 'communication', 'presentation', 'banking', 'fintech', 'regulatory', 'compliance', 'legal', 'benefits']",Mid senior,"Account Executive, Strategic"
Data & Analytics,"['healthcare', 'sales', 'marketing', 'data analysis', 'salesforce', 'consultative selling', 'relationship building', 'territory management', 'leadership', 'change management', 'b2b sales']",Mid senior,"Diagnostic Sales Consultant - Raleigh, NC"
Business Development & Customer Acquisition,"['saas', 'consultative sales', 'storytelling', 'public speaking', 'client acquisition', 'business development', 'sales cycle management', 'enterprise sales', 'product demos', 'travel readiness', 'us work authorization', 'professional development', 'coaching']",Mid senior,Strategic Enterprise Account Executive
Project Management,"['saas', 'sales', 'account management', 'sales strategy', 'prospecting', 'qualification', 'pipeline management', 'crossfunctional collaboration', 'customer engagement', 'best practices', 'communication', 'problem solving', 'project management']",Mid senior,Strategic Enterprise Account Executive (Mid-Atlantic)
Sales,"['sales', 'business intelligence', 'analytics', 'etl', 'cloud infrastructure', 'customer needs', 'diversity inclusion', 'git']",Mid senior,"Strategic Account Executive, NorthEast"
Negotiation,"['sales acumen', 'discovery', 'verbal and written communication', 'positive attitude', 'rapport building', 'discipline', 'execution', 'planning', 'selfstarting', 'entrepreneurial spirit']",Associate,Strategic Enterprise Account Executive
MS Office,"['sales', 'business acumen', 'product training', 'salesforce', 'interpersonal communication', 'presentation', 'collaboration', 'customer service', 'teamwork', 'word', 'excel', 'powerpoint', 'internet', 'pricing strategy', 'account planning', 'research', 'business planning', 'negotiations', 'sales operations', 'forecasting', 'learning development', 'metrics', 'six sigma', 'healthcare industry']",Mid senior,Sales Consultant
Cyber Security,"['saas', 'consultative sales', 'storytelling', 'creative problemsolving', 'hcm', 'crm', 'software solutions', 'travel']",Mid senior,Strategic Enterprise Account Executive
Problem Solving,"['sales', 'relationship building', 'customer relationship management', 'problem solving', 'client management', 'technical aptitude', 'cold calling', 'sales presentations', 'solution selling', 'data entry', 'active listening', 'microsoft office', 'babs degree']",Mid senior,Strategic Sales Account Manager
MS Office,"['healthcare', 'sales', 'business solutions', 'consulting', 'crm', 'salesforce', 'excel', 'power point', 'word', 'outlook']",Mid senior,"Diagnostic Sales Consultant - Raleigh, NC"
Formal Qualifications & Degrees,"['sales', 'account management', 'business development', 'customer relationship management', 'communication', 'performance measurement', 'contract compliance', 'problem solving', 'entrepreneurial mindset', 'executive presence', 'data analysis', 'inventory management', 'supply chain management', 'customer acquisition', 'healthcare industry', 'critical thinking', 'bachelors degree', 'travel', 'medical dental and vision coverage', 'paid time off', 'health savings account hsa', '401k savings plan', 'paid parental leave']",Associate,Senior Business Development Consultant - Independent Reference Lab
Problem Solving,"['sales', 'customer relationship management', 'business development', 'communication', 'problem solving', 'entrepreneurship', 'executive presence', 'travel', 'medical', 'dental', 'vision', 'paid time off', 'health savings account', '401k savings plan', 'flexible spending account', 'parental leave', 'healthcare industry']",Associate,Senior Business Development Consultant - Independent Reference Lab
Negotiation,"['consultative sales', 'entrepreneurial mindset', 'active listening', 'communication', 'negotiation', 'b2b sales', 'problem solving', 'relationship building']",Mid senior,Strategic Account Manager
Project Management,"['marketing', 'project management', 'client management', 'communication', 'microsoft office', 'team collaboration', 'event planning', 'background checks']",Mid senior,Brand Strategy Account Manager - Brand Strategy Group
Sales,"['sales', 'customer relationship management', 'microsoft suite', 'independent work', 'drug screen', 'background check']",Mid senior,Strategic Account Manager
Negotiation,"['networking', 'network security', 'sales strategies', 'negotiation', 'routing', 'communication', 'presentation', 'teamwork', 'business acumen', 'relationship building', 'prioritization', 'travel']",Mid senior,Strategic Account Manager
Negotiation,"['client relationship management', 'account management', 'sales', 'consulting', 'communication', 'data analysis', 'time management', 'organization', 'problem solving', 'negotiation', 'persuasion', 'coaching', 'feedback', 'prioritization', 'inclusion', 'microsoft office', 'hubspot', 'zoom']",Mid senior,Impact Consultant / Account Manager
Collaboration,"['collaboration', 'telecommunications', 'relationship management', 'forecasting', 'billing', 'customer retention', 'communication', 'high school diploma', 'commission', 'bonus', 'benefits', 'equal opportunity employer']",Mid senior,Strategic Account Executive
MS Office,"['microsoft dynamics 365', 'power bi', 'power apps', 'power automate', 'sharepoint', 'crm', 'team environment', 'autonomy']",Mid senior,Strategic Account Manager
Adaptability,"['customer success', 'account management', 'saas', 'presentation', 'facilitation', 'critical thinking', 'empathy', 'selfawareness', 'teamwork', 'time management', 'prioritization', 'client retention', 'collaboration', 'communication', 'adaptability', 'flexibility', 'compensation', 'benefits', 'shortterm disability', 'longterm disability', 'life insurance', 'paid time off', 'parental leave']",Mid senior,Customer Success Consultant - (East/Central) - Remote | WFH
Analytical Thinking,"['communication', 'relationship building', 'negotiation', 'analytical skills', 'bachelors degree', 'presentation', 'customer relationship management', 'presentation']",Mid senior,Account Executive 3 - Strategic Accounts
Retail & Service,"['sales', 'communication', 'customer service', 'business acumen', 'salesforce crm', 'marketing', 'forecasting', 'benefits package', '401k retirement plan', 'paid time off', 'parental leave', 'employee assistance program', 'innovation', 'growth']",Mid senior,Strategic Account Executive
Negotiation,"['sap', 'presentations', 'sales management', 'negotiation', 'pricing strategies', 'financial analysis', 'strategic thinking', 'execution', 'education']",Mid senior,Strategic Account Manager - OMNIA Partners Public Sector
Data & Analytics,"['saas', 'networking', 'security', 'consultative sales', 'technical aptitude', 'problem solving', 'data analysis', 'sales cycle management', 'time management', 'autonomy', 'selfdirection']",Associate,Strategic Account Manager
Project Management,"['strategic account management', 'sales', 'contract management', 'compliance', 'inventory planning', 'distribution', 'logistics', 'reporting', 'project management', 'standard operating procedures', 'continuous improvement', 'client relationship', 'sales strategy', 'customer retention', 'strategic planning', 'sales forecasting', 'operations', 'product management']",Mid senior,Strategic Account Manager
Adaptability,"['account executive', 'microsoft excel', 'powerpoint', 'communication', 'sales', 'marketing', 'relationship building', 'crossselling', 'proposal writing', 'customer service', 'problem solving', 'adaptability', 'honesty', 'willingness to learn']",Associate,Strategic Account Executive
